Date,Export Number (in Tonnes)
01-01-20,"1,213,539"
02-01-20,"1,082,417"
03-01-20,"1,184,702"
04-01-20,"1,236,478"
05-01-20,"1,369,351"
06-01-20,"1,706,597"
07-01-20,"1,783,284"
08-01-20,"1,578,075"
09-01-20,"1,612,155"
10-01-20,"1,674,304"
11-01-20,"1,303,271"
12-01-20,"1,624,692"
01-01-21,"947,392"
02-01-21,"900,558"
03-01-21,"1,189,859"
04-01-21,"1,350,777"
05-01-21,"1,268,424"
06-01-21,"1,418,494"
07-01-21,"1,402,315"
08-01-21,"1,167,188"
09-01-21,"1,611,518"
10-01-21,"1,420,574"
11-01-21,"1,465,518"
12-01-21,"1,414,566"
01-01-22,"1,159,826"
02-01-22,"1,111,826"
03-01-22,"1,281,461"
04-01-22,"1,068,238"
05-01-22,"1,369,714"
06-01-22,"1,193,917"
07-01-22,"1,325,342"
08-01-22,"1,299,930"
09-01-22,"1,423,196"
10-01-22,"1,505,769"
11-01-22,"1,521,329"
12-01-22,"1,468,448"
