Date,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Windspeed,Winddir,Sealevelpressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase,Index Production,Price,Export Number (in Tonnes),USD
2020-01-01,29.3,22.8,69.5,0.0,0,0.0,14.0,84.0,1013.0,37.8,9.7,277.3,24.0,9,0.17,123.15,3931.0,1213539.0,4.1795
2020-02-01,28.5,24.1,78.0,1.16,100,4.17,13.9,99.1,1013.8,44.3,9.7,243.7,21.1,9,0.22,115.001,2680.0,1082417.0,4.0885
2020-03-01,28.2,24.6,82.3,11.95,100,8.33,12.1,147.9,1012.5,39.5,9.5,252.2,21.9,9,0.26,113.805,2413.5,1184702.0,4.226
2020-04-01,28.5,24.7,80.7,0.35,100,4.17,14.1,172.3,1010.7,40.7,8.8,265.1,22.9,9,0.31,73.11,2472.5,1236478.0,4.3275
2020-05-01,28.5,23.9,77.2,0.0,0,0.0,13.5,179.2,1011.0,39.7,9.0,278.6,24.1,10,0.36,92.795,2096.5,1369351.0,4.326
2020-06-01,28.4,23.8,77.8,9.84,100,8.33,13.7,151.8,1011.5,40.2,9.6,275.5,23.8,10,0.4,127.097,2366.0,1706597.0,4.323
2020-07-01,28.8,23.8,76.2,0.0,0,0.0,17.7,202.1,1010.6,37.4,9.8,194.9,16.9,7,0.44,127.397,2396.0,1783284.0,4.2815
2020-08-01,29.0,24.7,78.4,0.35,100,4.17,12.8,121.4,1009.6,42.7,9.1,223.4,19.4,8,0.47,124.684,2719.5,1578075.0,4.2425
2020-09-01,27.9,24.3,82.7,34.71,100,8.33,14.6,115.9,1009.4,38.2,9.5,244.3,21.3,8,0.49,127.298,2885.5,1612155.0,4.1475
2020-10-01,27.4,24.3,84.4,7.42,100,8.33,13.0,139.2,1010.1,38.7,9.3,171.5,14.8,6,0.5,127.442,2914.0,1674304.0,4.148
2020-11-01,28.1,24.7,82.8,0.0,0,0.0,13.7,182.7,1010.1,35.7,9.1,174.4,15.1,6,0.51,123.727,3250.0,1303271.0,4.157
2020-12-01,28.0,24.7,82.7,1.27,100,8.33,17.3,181.6,1009.6,36.6,7.9,223.3,19.3,8,0.52,127.771,3501.5,1624692.0,4.078
2020-01-13,27.5,25.0,87.3,1.42,100,8.33,9.4,111.1,1009.0,37.2,8.5,251.8,21.7,9,0.55,123.15,3096.0,1213539.0,4.0645
2020-01-14,28.7,24.7,79.8,0.0,0,0.0,8.9,110.3,1009.6,36.3,8.5,253.5,21.7,9,0.59,123.15,3033.0,1213539.0,4.0615
2020-01-15,28.3,24.8,82.2,7.07,100,4.17,15.1,105.6,1010.2,38.1,8.8,259.5,22.6,9,0.64,123.15,3014.5,1213539.0,4.079
2020-01-16,28.3,25.5,86.0,1.77,100,4.17,16.4,126.7,1010.8,37.4,7.3,273.4,23.6,9,0.69,123.15,2985.0,1213539.0,4.0685
2020-01-17,28.3,25.2,84.3,0.0,0,0.0,12.3,151.2,1011.2,38.2,8.4,276.0,24.0,9,0.75,123.15,2971.5,1213539.0,4.0625
2020-01-18,28.1,24.9,83.8,0.0,0,0.0,17.9,162.4,1010.7,37.6,8.1,272.3,23.5,9,0.81,123.15,2971.5,1213539.0,4.0625
2020-01-19,28.0,25.3,86.5,67.2,100,8.33,19.2,145.3,1011.0,43.1,7.8,261.9,22.5,9,0.86,123.15,2971.5,1213539.0,4.0625
2020-01-20,29.0,25.1,80.9,0.0,0,0.0,12.5,159.3,1011.5,37.4,9.4,222.8,19.1,8,0.91,123.15,2963.0,1213539.0,4.0575
2020-01-21,29.2,25.4,80.3,0.0,0,0.0,11.8,142.4,1012.7,37.3,9.6,157.3,13.7,5,0.95,123.15,2931.5,1213539.0,4.069
2020-01-22,29.8,24.4,74.1,0.0,0,0.0,18.8,115.8,1012.2,37.6,9.6,282.1,24.4,10,0.98,123.15,2974.0,1213539.0,4.0735
2020-01-23,29.1,25.0,79.2,0.05,100,4.17,12.8,131.2,1011.4,39.0,9.5,288.2,24.9,10,0.99,123.15,2991.5,1213539.0,4.0655
2020-01-24,29.7,24.7,76.3,0.0,0,0.0,17.3,169.8,1010.9,35.9,9.5,246.2,21.2,8,1.0,123.15,2984.0,1213539.0,4.0645
2020-01-25,29.7,24.0,72.3,0.0,0,0.0,12.8,153.4,1010.4,38.0,9.6,278.6,23.9,9,0.0,123.15,2984.0,1213539.0,4.0645
2020-01-26,29.3,24.8,77.4,0.0,0,0.0,14.3,208.4,1009.7,37.9,9.6,229.4,19.8,9,0.01,123.15,2984.0,1213539.0,4.0645
2020-01-27,29.0,24.9,79.2,0.53,100,4.17,11.7,220.9,1009.8,38.0,9.7,241.9,20.9,8,0.03,123.15,2984.0,1213539.0,4.0645
2020-01-28,29.3,24.9,78.3,0.0,0,0.0,16.1,177.5,1010.2,37.6,9.9,184.0,15.9,6,0.06,123.15,2736.0,1213539.0,4.0835
2020-01-29,25.6,24.2,92.3,28.01,100,8.33,16.9,205.2,1012.4,40.1,7.5,154.5,13.3,5,0.09,123.15,2777.5,1213539.0,4.0785
2020-01-30,27.5,23.5,80.9,1.89,100,8.33,14.3,167.1,1011.0,39.6,9.4,197.2,16.9,6,0.13,123.15,2689.0,1213539.0,4.0885
2020-01-31,28.0,24.1,80.7,3.54,100,4.17,14.1,154.5,1010.9,37.9,9.6,197.7,17.0,7,0.18,123.15,2680.0,1213539.0,4.0885
2020-01-02,29.1,23.5,73.6,0.0,0,0.0,16.5,69.7,1010.7,38.3,9.0,269.1,23.1,9,0.22,123.15,3055.0,1213539.0,4.0865
2020-02-02,29.5,22.7,68.1,0.0,0,0.0,15.4,68.8,1011.8,38.7,10.0,290.4,25.0,10,0.27,115.001,2680.0,1082417.0,4.0885
2020-03-02,29.0,21.8,67.0,0.0,0,0.0,17.3,157.4,1012.1,37.4,9.8,289.0,24.8,10,0.32,113.805,2394.5,1184702.0,4.2015
2020-04-02,28.4,23.1,74.1,0.0,0,0.0,15.3,142.2,1011.2,37.7,10.0,291.5,25.0,10,0.37,73.11,2454.0,1236478.0,4.386
2020-05-02,28.5,23.1,74.3,7.07,100,4.17,14.1,134.7,1010.8,40.7,8.8,283.8,24.7,10,0.41,92.795,2096.5,1369351.0,4.326
2020-06-02,28.9,23.7,75.3,0.53,100,8.33,15.9,112.9,1011.1,38.3,7.8,277.4,24.0,9,0.45,127.097,2374.0,1706597.0,4.2915
2020-07-02,28.2,24.3,80.3,0.35,100,4.17,10.5,108.5,1011.6,37.8,7.8,250.7,21.8,9,0.48,127.397,2420.5,1783284.0,4.286
2020-08-02,28.3,23.5,77.0,0.35,100,4.17,10.7,151.4,1012.5,37.6,8.4,286.4,24.7,9,0.5,124.684,2719.5,1578075.0,4.2425
2020-09-02,27.7,24.1,82.0,0.0,0,0.0,15.9,236.5,1012.2,39.6,7.8,266.7,23.0,9,0.5,127.298,2885.5,1612155.0,4.1495
2020-10-02,27.2,23.5,81.6,15.29,100,4.17,11.6,106.7,1011.9,40.0,9.9,153.4,13.4,6,0.52,127.442,2841.0,1674304.0,4.1605
2020-11-02,28.5,23.6,75.7,0.0,0,0.0,13.8,82.1,1011.7,38.8,9.7,226.2,19.6,8,0.53,123.727,3209.5,1303271.0,4.155
2020-12-02,29.5,24.2,74.6,0.0,0,0.0,15.7,102.0,1012.0,37.5,10.2,256.5,22.3,9,0.57,127.771,3485.5,1624692.0,4.0715
2020-02-13,28.5,24.9,81.9,32.71,100,4.17,17.5,174.8,1011.3,37.4,9.5,281.9,24.2,10,0.62,115.001,2694.5,1082417.0,4.139
2020-02-14,28.0,25.7,87.9,20.68,100,4.17,20.1,108.0,1010.3,38.9,8.2,204.0,17.6,7,0.67,115.001,2683.0,1082417.0,4.141
2020-02-15,27.6,25.0,86.2,5.51,100,12.5,15.4,239.4,1011.9,39.4,9.3,164.1,14.1,7,0.73,115.001,2683.0,1082417.0,4.141
2020-02-16,27.9,24.9,84.6,2.5,100,4.17,17.7,195.6,1012.2,40.8,9.9,256.3,22.1,9,0.78,115.001,2683.0,1082417.0,4.141
2020-02-17,28.7,24.6,80.0,0.0,0,0.0,14.6,142.2,1012.3,37.2,8.9,248.3,21.6,8,0.84,115.001,2709.0,1082417.0,4.138
2020-02-18,26.4,23.8,86.1,3.51,100,4.17,14.6,126.2,1013.0,39.6,9.6,147.5,12.7,5,0.88,115.001,2708.5,1082417.0,4.1495
2020-02-19,28.2,23.0,74.6,0.0,0,0.0,12.1,145.6,1012.6,37.6,9.3,287.6,24.8,10,0.93,115.001,2694.5,1082417.0,4.1595
2020-02-20,29.1,22.9,71.5,0.0,0,0.0,14.0,118.6,1011.9,39.2,9.3,298.9,25.7,10,0.96,115.001,2649.0,1082417.0,4.1845
2020-02-21,29.2,22.6,69.9,0.0,0,0.0,14.8,122.3,1012.8,36.7,9.9,297.1,25.7,10,0.98,115.001,2667.0,1082417.0,4.1915
2020-02-22,29.5,21.7,63.7,0.0,0,0.0,13.3,57.4,1013.3,37.1,9.8,297.2,25.6,10,1.0,115.001,2667.0,1082417.0,4.1915
2020-02-23,29.5,21.7,63.9,0.0,0,0.0,19.0,104.3,1012.4,38.5,9.9,304.3,26.4,10,1.0,115.001,2667.0,1082417.0,4.1915
2020-02-24,29.6,22.5,67.2,0.0,0,0.0,14.6,104.1,1010.9,39.1,10.2,304.2,26.2,10,0.0,115.001,2645.0,1082417.0,4.2215
2020-02-25,29.5,23.3,71.0,6.19,100,4.17,14.1,78.4,1010.1,40.5,10.1,294.3,25.7,10,0.02,115.001,2545.0,1082417.0,4.225
2020-02-26,28.7,23.7,76.7,59.23,100,4.17,24.0,68.5,1010.0,39.6,9.4,303.2,25.8,10,0.04,115.001,2509.5,1082417.0,4.2395
2020-02-27,29.4,23.5,73.4,0.0,0,0.0,10.4,97.3,1009.7,37.4,8.6,293.5,25.4,10,0.06,115.001,2486.5,1082417.0,4.2225
2020-02-28,30.2,22.3,65.0,0.0,0,0.0,17.6,106.2,1009.2,39.7,9.8,305.1,26.4,10,0.1,115.001,2413.5,1082417.0,4.226
2020-02-29,30.1,23.4,69.6,0.0,0,0.0,17.3,116.2,1008.8,36.8,9.6,291.9,25.0,10,0.14,115.001,2413.5,1082417.0,4.226
2020-01-03,29.1,24.3,77.1,4.42,100,4.17,20.8,125.0,1009.6,38.2,8.7,291.4,25.1,10,0.18,123.15,3064.0,1213539.0,4.0995
2020-02-03,29.3,24.6,77.7,7.09,100,8.33,17.5,116.6,1009.4,37.5,9.4,305.0,26.2,10,0.23,115.001,2658.5,1082417.0,4.1155
2020-03-03,28.9,24.8,80.3,0.0,0,0.0,24.0,130.0,1009.9,39.9,8.1,280.8,24.3,10,0.28,113.805,2377.5,1184702.0,4.205
2020-04-03,30.2,24.7,74.0,0.0,0,0.0,14.3,135.8,1009.7,39.0,9.0,286.3,24.7,10,0.34,73.11,2366.0,1236478.0,4.36
2020-05-03,28.6,25.1,82.0,1.23,100,4.17,17.7,159.6,1010.8,38.8,9.1,174.8,15.2,6,0.38,92.795,2096.5,1369351.0,4.326
2020-06-03,27.6,24.4,83.2,4.51,100,4.17,17.3,183.1,1011.9,37.5,8.9,153.6,13.2,6,0.43,127.097,2389.5,1706597.0,4.262
2020-07-03,27.0,24.5,87.3,24.59,100,12.5,16.8,218.0,1012.5,38.2,8.9,169.8,14.7,6,0.46,127.397,2414.0,1783284.0,4.287
2020-08-03,27.8,25.2,87.0,6.0,100,4.17,18.8,151.7,1010.9,38.7,7.6,177.6,15.4,7,0.49,124.684,2822.5,1578075.0,4.2335
2020-09-03,29.5,25.5,80.5,0.0,0,0.0,16.1,187.9,1009.4,38.0,8.4,183.2,15.8,6,0.5,127.298,2936.5,1612155.0,4.1425
2020-10-03,30.6,25.8,77.2,0.0,0,0.0,17.7,238.9,1008.9,38.2,9.9,204.6,17.7,8,0.51,127.442,2841.0,1674304.0,4.1605
2020-11-03,29.4,25.5,80.7,34.41,100,4.17,24.8,224.0,1010.3,37.2,9.7,260.9,22.5,9,0.53,123.727,3304.0,1303271.0,4.1585
2020-12-03,28.5,25.4,84.4,14.64,100,4.17,15.9,118.8,1011.4,39.8,8.6,279.4,24.3,9,0.56,127.771,3502.0,1624692.0,4.0725
2020-03-13,29.2,25.5,81.3,0.1,100,4.17,17.7,161.9,1011.7,39.4,7.8,263.3,22.6,9,0.6,113.805,2307.0,1184702.0,4.295
2020-03-14,30.2,25.0,75.4,0.0,0,0.0,11.4,93.1,1009.9,40.9,8.9,250.3,21.6,9,0.65,113.805,2307.0,1184702.0,4.295
2020-03-15,29.0,24.3,77.4,15.38,100,4.17,16.6,82.1,1009.8,38.0,9.7,231.3,20.0,8,0.71,113.805,2307.0,1184702.0,4.295
2020-03-16,30.6,23.2,66.7,0.0,0,0.0,12.2,52.6,1010.6,39.4,9.8,216.8,18.8,7,0.76,113.805,2280.5,1184702.0,4.301
