Date,Index Production
01-01-20,123.15
02-01-20,115.001
03-01-20,113.805
04-01-20,73.11
05-01-20,92.795
06-01-20,127.097
07-01-20,127.397
08-01-20,124.684
09-01-20,127.298
10-01-20,127.442
11-01-20,123.727
12-01-20,127.771
01-01-21,127.512
02-01-21,120.126
03-01-21,128.285
04-01-21,122.83
05-01-21,120.425
06-01-21,126.881
07-01-21,119.112
08-01-21,125.42
09-01-21,132.329
10-01-21,137.62
11-01-21,137.72
12-01-21,138.457
01-01-22,136.142
02-01-22,126.386
03-01-22,137.172
04-01-22,130.431
05-01-22,128.772
06-01-22,145.197
07-01-22,136.878
08-01-22,144.496
09-01-22,146.11
10-01-22,143.414
11-01-22,144.382
12-01-22,142.636
